Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;ParcialmenteOrdenado;ShellSort;TEMPO;320240.00;18668.89;295400.00;386300.00;317500.00;5.83;326920.58;313559.42
1000;ParcialmenteOrdenado;ShellSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;AltaRepeticao;BubbleSort;COMPARACOES;498530.60;863.05;495222.00;499409.00;498739.50;0.17;498839.44;498221.76
1000;AltaRepeticao;BubbleSort;TROCAS;246096.70;5017.18;235742.00;257510.00;246100.00;2.04;247892.07;244301.33
1000;AltaRepeticao;BubbleSort;ACESSOS;1981448.00;20654.67;1939418.00;2026284.00;1981284.00;1.04;1988839.18;1974056.82
1000;AltaRepeticao;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;AltaRepeticao;BubbleSort;TEMPO;11458750.00;195137.68;11163200.00;11876100.00;11449200.00;1.70;11528579.12;11388920.88
1000;AltaRepeticao;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;AltaRepeticao;InsertionSort;COMPARACOES;497978.73;9241.02;479311.00;518955.00;497533.00;1.86;501285.59;494671.88
1000;AltaRepeticao;InsertionSort;TROCAS;249492.90;4620.07;240158.00;259986.00;249270.00;1.85;251146.17;247839.63
1000;AltaRepeticao;InsertionSort;ACESSOS;996964.53;18481.16;959627.00;1038927.00;996073.00;1.85;1003577.93;990351.14
1000;AltaRepeticao;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;AltaRepeticao;InsertionSort;TEMPO;5307473.33;133049.40;5055200.00;5615200.00;5288350.00;2.51;5355084.45;5259862.22
1000;AltaRepeticao;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;AltaRepeticao;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;AltaRepeticao;SelectionSort;TROCAS;985.77;3.18;979.00;992.00;986.00;0.32;986.90;984.63
1000;AltaRepeticao;SelectionSort;ACESSOS;1002943.07;12.72;1002916.00;1002968.00;1002944.00;0.00;1002947.62;1002938.51
